id,Date/Time,Region,Latitude,Longitude,Speed,Direction,
1,11/07/2024 01:07,England Inshore,51.10748,1.311747,44,255,
2,11/07/2024 01:17,England Inshore,51.1034,1.28452,68,247,
3,11/07/2024 01:28,England Inshore,51.10057,1.267258,60,266,
4,11/07/2024 01:38,England Inshore,51.10069,1.262667,11,163,
5,11/07/2024 01:47,England Inshore,51.09847,1.270063,26,105,
6,11/07/2024 01:57,England Inshore,51.09713,1.279667,22,101,
7,11/07/2024 02:07,England Inshore,51.09593,1.28945,21,102,
8,11/07/2024 02:17,England Inshore,51.09469,1.300088,14,98,
9,11/07/2024 02:27,England Inshore,51.09358,1.311577,23,94,
10,11/07/2024 02:37,England Inshore,51.09259,1.323683,25,98,
11,11/07/2024 02:48,England Inshore,51.0913,1.336168,25,95,
12,11/07/2024 02:58,England Inshore,51.09121,1.349272,36,87,
13,11/07/2024 03:07,England Inshore,51.09193,1.36232,43,78,
14,11/07/2024 03:17,England Inshore,51.09307,1.374987,31,78,
15,11/07/2024 03:27,England Inshore,51.09423,1.387933,34,77,
16,11/07/2024 03:38,England Inshore,51.09604,1.400783,30,78,
17,11/07/2024 03:47,England Inshore,51.09721,1.412067,20,81,
18,11/07/2024 03:58,England Inshore,51.09851,1.423483,20,78,
19,11/07/2024 04:07,England Inshore,51.09945,1.432662,26,82,
20,11/07/2024 04:17,England Inshore,51.10052,1.442093,18,75,
21,11/07/2024 04:27,England Inshore,51.10137,1.451067,16,78,
22,11/07/2024 04:37,England Inshore,51.10225,1.459873,19,78,
23,11/07/2024 04:47,England Inshore,51.10302,1.468898,17,82,
24,11/07/2024 04:58,England Inshore,51.10381,1.47747,18,79,
25,11/07/2024 05:07,England Inshore,51.10463,1.48597,10,85,
26,11/07/2024 05:15,SW Lane,51.10526,1.492095,22,80,
27,11/07/2024 05:28,SW Lane,51.10609,1.502207,20,80,
28,11/07/2024 05:37,SW Lane,51.10664,1.509623,23,84,
29,11/07/2024 05:48,SW Lane,51.10679,1.518155,15,89,
30,11/07/2024 05:58,SW Lane,51.10698,1.525165,5,87,
31,11/07/2024 06:07,SW Lane,51.10714,1.53149,14,87,
32,11/07/2024 06:17,SW Lane,51.10743,1.538847,13,86,
33,11/07/2024 06:57,SW Lane,51.10548,1.563067,13,102,
